"Genome","Substrates","n","Species"
"E12_NM3","beta-glucan",21,"MB"
"E12_NM3","beta-glucuronan",7,"MB"
"E12_NM3","beta-mannan",8,"MB"
"E12_NM3","carrageenan",4,"MB"
"E12_NM3","chitin",16,"MB"
"E12_NM3","chitosan",7,"MB"
"E12_NM3","exo-polysaccharide",8,"MB"
"E12_NM3","fructan",2,"MB"
"E12_NM3","glucosylglycerate",6,"MB"
"E12_NM3","glucosylglycerol",6,"MB"
"E12_NM3","glycogen",7,"MB"
"E12_NM3","host glycan",48,"MB"
"E12_NM3","human milk polysaccharide",4,"MB"
"E12_NM3","pectin",15,"MB"
"E12_NM3","peptidoglycan",18,"MB"
"E12_NM3","polyphenol",13,"MB"
"E12_NM3","porphyran",4,"MB"
"E12_NM3","raffinose",2,"MB"
"E12_NM3","sialic acid",4,"MB"
"E12_NM3","starch",12,"MB"
"E12_NM3","sucrose",10,"MB"
"E12_NM3","trehalose",6,"MB"
"E12_NM3","ulvan",1,"MB"
"E12_NM3","xylan",24,"MB"
"E12_NM3","xyloglucan",19,"MB"
"E4_CT","agarose",1,"MB"
"E4_CT","alkaloid",3,"MB"
"E4_CT","alpha-galactan",6,"MB"
"E4_CT","alpha-glucan",14,"MB"
"E4_CT","alpha-mannan",11,"MB"
"E4_CT","arabinan",43,"MB"
"E4_CT","arabinogalactan protein",34,"MB"
"E4_CT","beta-fucosides",2,"MB"
"E4_CT","beta-galactan",32,"MB"
"E4_CT","beta-glucan",25,"MB"
"E4_CT","beta-glucuronan",8,"MB"
"E4_CT","beta-mannan",6,"MB"
"E4_CT","carrageenan",3,"MB"
"E4_CT","cellulose",1,"MB"
"E4_CT","chitin",12,"MB"
"E4_CT","chitosan",7,"MB"
"E4_CT","exo-polysaccharide",1,"MB"
"E4_CT","fructan",1,"MB"
"E4_CT","glucosylglycerate",8,"MB"
"E4_CT","glucosylglycerol",8,"MB"
"E4_CT","glycogen",10,"MB"
"E4_CT","host glycan",28,"MB"
"E4_CT","pectin",14,"MB"
"E4_CT","peptidoglycan",12,"MB"
"E4_CT","polyphenol",11,"MB"
"E4_CT","porphyran",1,"MB"
"E4_CT","starch",15,"MB"
"E4_CT","sucrose",13,"MB"
"E4_CT","trehalose",8,"MB"
"E4_CT","ulvan",1,"MB"
"E4_CT","xylan",53,"MB"
"E4_CT","xyloglucan",14,"MB"
"E_coli_K12","alpha-glucan",3,"non-MB"
"E_coli_K12","alpha-mannan",2,"non-MB"
"E_coli_K12","arabinan",3,"non-MB"
"E_coli_K12","arabinogalactan protein",1,"non-MB"
"E_coli_K12","beta-galactan",2,"non-MB"
"E_coli_K12","beta-glucan",2,"non-MB"
"E_coli_K12","beta-glucuronan",1,"non-MB"
"E_coli_K12","beta-mannan",1,"non-MB"
"E_coli_K12","chitin",4,"non-MB"
"E_coli_K12","chitosan",1,"non-MB"
"E_coli_K12","exo-polysaccharide",2,"non-MB"
"E_coli_K12","glucosylglycerate",2,"non-MB"
"E_coli_K12","glucosylglycerol",2,"non-MB"
"E_coli_K12","glycogen",2,"non-MB"
"E_coli_K12","host glycan",3,"non-MB"
"E_coli_K12","pectin",1,"non-MB"
"E_coli_K12","peptidoglycan",5,"non-MB"
"E_coli_K12","polyphenol",1,"non-MB"
"E_coli_K12","starch",2,"non-MB"
"E_coli_K12","sucrose",2,"non-MB"
"E_coli_K12","trehalose",3,"non-MB"
"E_coli_K12","xylan",3,"non-MB"
"E_coli_K12","xyloglucan",1,"non-MB"
"E_coli_K12",NA,1,"non-MB"
"F1_NM4","agarose",3,"MB"
"F1_NM4","alkaloid",4,"MB"
"F1_NM4","alpha-galactan",14,"MB"
