#SampleID	forward-absolute-filepath	reverse-absolute-filepath	samplename	name	location	experimenter
DP147_S147_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP147_S147_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP147_S147_L001_R2_001.fastq.gz	Se_C1M1_D0_N	DP147	Plate2_A7	Deanna
DP148_S148_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP148_S148_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP148_S148_L001_R2_001.fastq.gz	Se_C3M1_D0_C	DP148	Plate2_B7	Deanna
DP150_S150_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP150_S150_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP150_S150_L001_R2_001.fastq.gz	Se_C3M1_D2_M	DP150	Plate2_D7	Deanna
DP151_S151_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP151_S151_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP151_S151_L001_R2_001.fastq.gz	Se_C4M2_D3_N	DP151	Plate2_E7	Deanna
DP152_S152_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP152_S152_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP152_S152_L001_R2_001.fastq.gz	Se_C2M1_D4_N	DP152	Plate2_F7	Deanna
DP153_S153_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP153_S153_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP153_S153_L001_R2_001.fastq.gz	Am_C3M1_Dx21	DP153	Plate2_G7	Deanna
DP154_S154_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP154_S154_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP154_S154_L001_R2_001.fastq.gz	Am_C3M4_D3	DP154	Plate2_H7	Deanna
DP155_S155_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP155_S155_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP155_S155_L001_R2_001.fastq.gz	Se_C2M1_D0_N	DP155	Plate2_A8	Deanna
DP156_S156_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP156_S156_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP156_S156_L001_R2_001.fastq.gz	Se_C4M1_D0_C	DP156	Plate2_B8	Deanna
DP157_S157_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP157_S157_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP157_S157_L001_R2_001.fastq.gz	Se_C1M2_D1_C	DP157	Plate2_C8	Deanna
DP158_S158_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP158_S158_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP158_S158_L001_R2_001.fastq.gz	Se_C3M2_D2_M	DP158	Plate2_D8	Deanna
DP159_S159_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP159_S159_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP159_S159_L001_R2_001.fastq.gz	Se_C1M2_D3_M	DP159	Plate2_E8	Deanna
DP160_S160_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP160_S160_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP160_S160_L001_R2_001.fastq.gz	Se_C3M1_D4_N	DP160	Plate2_F8	Deanna
DP161_S161_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP161_S161_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP161_S161_L001_R2_001.fastq.gz	Am_C4M2_Dx21	DP161	Plate2_G8	Deanna
DP162_S162_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP162_S162_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP162_S162_L001_R2_001.fastq.gz	Am_C2M2_D14	DP162	Plate2_H8	Deanna
DP163_S163_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP163_S163_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP163_S163_L001_R2_001.fastq.gz	Se_C3M1_D0_N	DP163	Plate2_A9	Deanna
DP164_S164_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP164_S164_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP164_S164_L001_R2_001.fastq.gz	Se_C1M1_D1_N	DP164	Plate2_B9	Deanna
DP165_S165_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP165_S165_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP165_S165_L001_R2_001.fastq.gz	Se_C2M1_D1_C	DP165	Plate2_C9	Deanna
DP166_S166_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP166_S166_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP166_S166_L001_R2_001.fastq.gz	Se_C4M1_D2_M	DP166	Plate2_D9	Deanna
DP167_S167_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP167_S167_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP167_S167_L001_R2_001.fastq.gz	Se_C1M3_D3_M	DP167	Plate2_E9	Deanna
DP168_S168_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP168_S168_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP168_S168_L001_R2_001.fastq.gz	Se_C4M2_D4_N	DP168	Plate2_F9	Deanna
DP169_S169_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP169_S169_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP169_S169_L001_R2_001.fastq.gz	Am_C5M1_Dx21	DP169	Plate2_G9	Deanna
DP170_S170_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP170_S170_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP170_S170_L001_R2_001.fastq.gz	Am_C1M2_D14	DP170	Plate2_H9	Deanna
DP171_S171_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP171_S171_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP171_S171_L001_R2_001.fastq.gz	Se_C4M2_D0_N	DP171	Plate2_A10	Deanna
DP172_S172_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP172_S172_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP172_S172_L001_R2_001.fastq.gz	Se_C2M1_D1_N	DP172	Plate2_B10	Deanna
DP173_S173_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP173_S173_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP173_S173_L001_R2_001.fastq.gz	Se_C3M1_D1_C	DP173	Plate2_C10	Deanna
DP174_S174_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP174_S174_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP174_S174_L001_R2_001.fastq.gz	Se_C1M1_D2_C	DP174	Plate2_D10	Deanna
DP175_S175_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP175_S175_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP175_S175_L001_R2_001.fastq.gz	Se_C2M2_D3_M	DP175	Plate2_E10	Deanna
DP176_S176_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP176_S176_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP176_S176_L001_R2_001.fastq.gz	Se_C1M2_D4_M	DP176	Plate2_F10	Deanna
DP177_S177_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP177_S177_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP177_S177_L001_R2_001.fastq.gz	Am_C1M2_D0	DP177	Plate2_G10	Deanna
DP178_S178_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP178_S178_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP178_S178_L001_R2_001.fastq.gz	Am_C1M3_D14	DP178	Plate2_H10	Deanna
DP179_S179_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP179_S179_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP179_S179_L001_R2_001.fastq.gz	Se_C1M2_D0_M	DP179	Plate2_A11	Deanna
DP180_S180_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP180_S180_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP180_S180_L001_R2_001.fastq.gz	Se_C3M1_D1_N	DP180	Plate2_B11	Deanna
DP181_S181_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP181_S181_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP181_S181_L001_R2_001.fastq.gz	Se_C4M1_D1_C	DP181	Plate2_C11	Deanna
DP182_S182_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP182_S182_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP182_S182_L001_R2_001.fastq.gz	Se_C2M1_D2_C	DP182	Plate2_D11	Deanna
DP183_S183_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP183_S183_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP183_S183_L001_R2_001.fastq.gz	Se_C3M1_D3_M	DP183	Plate2_E11	Deanna
